metatranscriptomics_name	kraken2_taxonomy
k141_116096	Pseudomonas lundensis (taxid 86185)
k141_2726	Vibrio rotiferianus (taxid 190895)
k141_40390	Dietzia psychralcaliphila (taxid 139021)
k141_153812	Acinetobacter schindleri (taxid 108981)
k141_229780	Achromobacter xylosoxidans (taxid 85698)
k141_248400	Dietzia psychralcaliphila (taxid 139021)
k141_172635	Escherichia coli (taxid 562)
k141_116099	Vibrio (taxid 662)
k141_116101	Enterobacteriaceae (taxid 543)
k141_40397	Pseudomonas fragi (taxid 296)
k141_248405	Aeromicrobium erythreum (taxid 2041)
k141_2733	Pseudomonas fragi (taxid 296)
k141_21906	Aeromicrobium erythreum (taxid 2041)
k141_172636	Achromobacter xylosoxidans (taxid 85698)
k141_135111	Pseudomonas fragi (taxid 296)
k141_191802	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_2734	Hydrogenophaga sp. BPS33 (taxid 2651974)
k141_248406	Pseudomonas lundensis (taxid 86185)
k141_40402	Paraburkholderia fungorum (taxid 134537)
k141_59395	Shigella dysenteriae (taxid 622)
k141_153830	Nocardia sp. CS682 (taxid 1047172)
k141_248408	Sphingopyxis sp. QXT-31 (taxid 1357916)
k141_21915	Vibrio astriarenae (taxid 1481923)
k141_40404	Actinomycetia (taxid 1760)
k141_59397	Thermotoga (taxid 2335)
k141_96967	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_116112	Pseudomonas migulae (taxid 78543)
k141_135120	Serratia ureilytica (taxid 300181)
k141_21916	Achromobacter xylosoxidans (taxid 85698)
k141_78408	Lactobacillus crispatus ST1 (taxid 748671)
k141_96969	Delftia (taxid 80865)
k141_229782	Pseudomonas fragi (taxid 296)
k141_59401	Enterobacteriaceae (taxid 543)
k141_21917	Achromobacter deleyi (taxid 1353891)
k141_191804	Pseudomonas lundensis (taxid 86185)
k141_2745	Pseudomonas mendocina (taxid 300)
k141_248414	Streptococcus equinus (taxid 1335)
k141_135126	Pseudomonas mendocina NK-01 (taxid 1001585)
k141_21919	Acinetobacter wanghuae (taxid 2662362)
k141_78414	Pseudomonas fragi (taxid 296)
k141_229790	Pseudomonas sp. AN-B15 (taxid 2697023)
k141_2749	Pluralibacter gergoviae (taxid 61647)
k141_191809	Pseudomonas synxantha (taxid 47883)
k141_229793	Pseudomonas protegens (taxid 380021)
k141_248416	Pseudomonas fragi (taxid 296)
k141_153831	Pseudomonas fragi (taxid 296)
k141_210389	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_191810	Pseudomonas putida (taxid 303)
k141_229796	Acinetobacter piscicola (taxid 2006115)
k141_59414	Pluralibacter gergoviae (taxid 61647)
k141_78421	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_96981	Pseudomonas fragi (taxid 296)
k141_210392	Lentilactobacillus parabuchneri (taxid 152331)
k141_135138	Pseudomonas (taxid 286)
k141_229799	Lactobacillus reuteri SD2112 (taxid 491077)
k141_153843	Pseudomonas fragi (taxid 296)
k141_191816	Pseudomonas fragi (taxid 296)
k141_40431	Pseudomonas putida (taxid 303)
k141_210397	Streptomyces sp. CB01881 (taxid 2078691)
k141_2765	Pseudomonas putida H8234 (taxid 1331671)
k141_153845	Pluralibacter gergoviae (taxid 61647)
k141_229804	Leifsonia xyli subsp. xyli str. CTCB07 (taxid 281090)
k141_210398	Pseudomonas (taxid 286)
k141_21938	Pseudomonas sp. B11D7D (taxid 2735906)
k141_248425	Enterobacteriaceae (taxid 543)
k141_59427	Photobacterium damselae (taxid 38293)
k141_96992	Achromobacter xylosoxidans (taxid 85698)
k141_116123	Lactobacillus mucosae LM1 (taxid 1130798)
k141_21940	Limosilactobacillus pontis (taxid 35787)
k141_248427	Vibrio nigripulchritudo (taxid 28173)
k141_153848	Limosilactobacillus fermentum (taxid 1613)
k141_191823	Pseudomonas synxantha (taxid 47883)
k141_135149	Aeribacillus pallidus (taxid 33936)
k141_210401	Diaphorobacter sp. JS3051 (taxid 2792224)
k141_78436	Pseudomonas mucidolens (taxid 46679)
k141_40436	Pseudomonas fluorescens (taxid 294)
k141_116125	Pseudomonas luteola (taxid 47886)
k141_59428	Pseudomonas lundensis (taxid 86185)
k141_191826	Delftia acidovorans (taxid 80866)
k141_96994	Curvibacter sp. AEP1-3 (taxid 1844971)
k141_40439	Pseudomonas putida (taxid 303)
k141_229815	Agromyces sp. G127AT (taxid 2781962)
k141_153851	Hydrogenophaga sp. PBL-H3 (taxid 434010)
k141_78439	Enterobacteriaceae (taxid 543)
k141_172644	Lactobacillus amylovorus DSM 20531 (taxid 1423723)
k141_21946	Pseudomonas protegens (taxid 380021)
k141_96996	Pseudomonas sp. FGI182 (taxid 1259844)
k141_116127	Buttiauxella sp. 3AFRM03 (taxid 2479367)
k141_153852	Pseudomonas cedrina (taxid 651740)
k141_210405	Pseudomonas fragi (taxid 296)
k141_248437	Vibrio panuliri (taxid 1381081)
k141_21948	Pseudomonas fragi (taxid 296)
k141_191831	Pseudomonas protegens (taxid 380021)
k141_116131	Hydrogenophaga sp. RAC07 (taxid 1842537)
k141_59440	unclassified Delftia (taxid 2613839)
k141_153855	Pseudomonas putida S13.1.2 (taxid 1384061)
k141_116132	Lactobacillus crispatus ST1 (taxid 748671)
k141_21950	Pseudomonas putida (taxid 303)
k141_59442	Pseudomonas putida (taxid 303)
k141_135163	Pseudonocardia (taxid 1847)
k141_229831	Pseudomonas azotoformans (taxid 47878)
k141_21952	Photobacterium damselae subsp. damselae (taxid 85581)
k141_191836	Pseudomonas fluorescens (taxid 294)
k141_40445	Hydrogenophaga sp. BPS33 (taxid 2651974)
k141_248443	Pseudomonas fragi (taxid 296)
k141_97000	Photobacterium profundum SS9 (taxid 298386)
k141_210413	Pseudomonas fluorescens F113 (taxid 1114970)
k141_248445	Vibrio furnissii (taxid 29494)
k141_78455	Enterobacteriaceae (taxid 543)
k141_40447	Pseudomonas sp. S34 (taxid 1573718)
k141_59446	Streptomyces sp. XC 2026 (taxid 2782004)
k141_78456	Leuconostoc citreum (taxid 33964)
k141_229836	Enterobacteriaceae (taxid 543)
k141_153864	Delftia acidovorans (taxid 80866)
k141_21956	Pseudomonas protegens (taxid 380021)
k141_116135	Pluralibacter gergoviae (taxid 61647)
k141_248447	Pseudomonas fragi (taxid 296)
k141_40453	Streptococcus infantarius (taxid 102684)
k141_135165	Pseudomonas sp. B11D7D (taxid 2735906)
k141_97009	Streptococcus equinus (taxid 1335)
k141_116136	Delftia acidovorans (taxid 80866)
k141_78460	Shewanella (taxid 22)
k141_191843	Vibrio owensii (taxid 696485)
k141_21959	Delftia acidovorans (taxid 80866)
k141_229841	Thermotoga sp. RQ2 (taxid 126740)
k141_97010	Dietzia timorensis (taxid 499555)
k141_172658	Pseudomonas fragi (taxid 296)
k141_40456	Pseudomonas fluorescens (taxid 294)
k141_78462	Streptomyces sp. YIM 121038 (taxid 2136401)
k141_191844	Thermotoga petrophila RKU-1 (taxid 390874)
k141_135168	Pseudomonas sp. Leaf58 (taxid 1736226)
k141_248452	Aeromicrobium erythreum (taxid 2041)
k141_153870	Pseudomonas putida B6-2 (taxid 1081940)
k141_172660	Pseudomonas putida (taxid 303)
k141_97013	Pseudomonas sihuiensis (taxid 1274359)
k141_116143	Variovorax sp. PAMC26660 (taxid 2762322)
k141_59451	Pseudomonas fluorescens R124 (taxid 743713)
k141_135171	Pseudomonas fragi (taxid 296)
k141_248454	Pluralibacter gergoviae (taxid 61647)
k141_40458	Pseudomonas fragi (taxid 296)
k141_153871	Clostridium isatidis (taxid 182773)
k141_191850	Thermotoga (taxid 2335)
k141_97017	Stenotrophomonas maltophilia (taxid 40324)
k141_78470	Vibrio sp. SM1977 (taxid 2662262)
k141_59452	Limosilactobacillus mucosae (taxid 97478)
k141_153873	Pseudomonas mendocina (taxid 300)
k141_248459	Pseudomonas protegens (taxid 380021)
k141_116149	Acinetobacter piscicola (taxid 2006115)
k141_40463	Achromobacter xylosoxidans (taxid 85698)
k141_172668	Pseudomonas putida NBRC 14164 (taxid 1211579)
k141_21961	Pseudomonas fragi (taxid 296)
k141_116150	Microbacterium oxydans (taxid 82380)
k141_229842	Pluralibacter gergoviae (taxid 61647)
k141_248461	Pseudomonas fluorescens F113 (taxid 1114970)
k141_21962	Pseudomonas protegens (taxid 380021)
k141_153879	Pseudomonas fragi (taxid 296)
k141_210432	Pluralibacter gergoviae (taxid 61647)
k141_116152	Variovorax sp. RA8 (taxid 662548)
k141_40465	Vibrio aphrogenes (taxid 1891186)
k141_135188	Pseudomonas putida H8234 (taxid 1331671)
k141_97027	Achromobacter deleyi (taxid 1353891)
k141_229846	unclassified Methylibium (taxid 2633235)
k141_172672	Pseudomonas putida H8234 (taxid 1331671)
k141_59460	Pseudomonas fragi (taxid 296)
k141_153881	Vibrio (taxid 662)
k141_78482	Lactobacillus acetotolerans (taxid 1600)
k141_229847	Enterobacterales (taxid 91347)
k141_97028	Achromobacter xylosoxidans (taxid 85698)
k141_2766	Pseudomonas lundensis (taxid 86185)
k141_210435	Pseudomonas sp. R5-89-07 (taxid 658644)
k141_59463	Geobacillus sp. E263 (taxid 391290)
k141_78486	Hydrogenophaga sp. BA0156 (taxid 2716225)
k141_2767	Thermosipho melanesiensis (taxid 46541)
k141_248467	Serratia marcescens subsp. marcescens Db11 (taxid 273526)
k141_153884	Pseudomonas sp. Ost2 (taxid 2678260)
k141_116154	Pseudomonas sp. ADAK18 (taxid 2730848)
k141_229849	Pseudomonas parafulva (taxid 157782)
k141_2769	Pseudomonas lundensis (taxid 86185)
k141_21973	Pseudomonas lundensis (taxid 86185)
k141_248472	Pseudomonas putida (taxid 303)
k141_210436	Hydrogenophaga sp. BPS33 (taxid 2651974)
k141_229851	Serratia marcescens (taxid 615)
k141_191854	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_135196	Pseudomonas fragi (taxid 296)
k141_210438	Pseudomonas protegens (taxid 380021)
k141_248473	Acinetobacter piscicola (taxid 2006115)
k141_172686	Pluralibacter gergoviae (taxid 61647)
k141_248477	Nostoc sp. PCC 7524 (taxid 28072)
k141_229860	Pseudomonas sp. K2W31S-8 (taxid 2320867)
k141_191857	Photobacterium damselae (taxid 38293)
k141_78493	Pseudomonas fluorescens WH6 (taxid 746360)
k141_229862	Hydrogenophaga sp. BPS33 (taxid 2651974)
k141_210446	Acinetobacter guillouiae (taxid 106649)
k141_2780	Lactobacillus amylovorus DSM 20531 (taxid 1423723)
k141_248482	Hydrogenophaga sp. PBL-H3 (taxid 434010)
k141_135207	Pseudomonas psychrophila (taxid 122355)
k141_116170	Pseudomonas psychrophila (taxid 122355)
k141_97035	Pseudomonas fragi (taxid 296)
k141_191864	Streptococcus sp. CNU G3 (taxid 2698804)
k141_135209	Achromobacter xylosoxidans (taxid 85698)
k141_172695	Achromobacter deleyi (taxid 1353891)
k141_97038	Pseudomonas azotoformans (taxid 47878)
k141_78498	Pseudomonas protegens Cab57 (taxid 1420599)
k141_248486	Pseudomonas fragi (taxid 296)
k141_153885	Ligilactobacillus salivarius (taxid 1624)
k141_229864	unclassified Pseudomonas (taxid 196821)
k141_116171	Vibrio casei (taxid 673372)
k141_248487	Pseudomonas orientalis (taxid 76758)
k141_172698	Advenella kashmirensis WT001 (taxid 1036672)
k141_78501	Lactobacillus ultunensis (taxid 227945)
k141_229865	Pseudomonas (taxid 286)
k141_116173	Serratia (taxid 613)
k141_135214	Thermotoga sp. RQ2 (taxid 126740)
k141_191869	Pluralibacter gergoviae (taxid 61647)
k141_172701	Pseudomonas protegens Cab57 (taxid 1420599)
k141_229869	Ligilactobacillus salivarius (taxid 1624)
k141_248494	Achromobacter xylosoxidans A8 (taxid 762376)
k141_229870	Serratia marcescens (taxid 615)
k141_153895	Pseudomonas frederiksbergensis (taxid 104087)
k141_135217	Hydrogenophaga sp. PBL-H3 (taxid 434010)
k141_2804	Pseudomonas protegens (taxid 380021)
k141_210467	Serratia marcescens (taxid 615)
k141_248496	Streptococcus equinus (taxid 1335)
k141_40474	Pseudomonas lundensis (taxid 86185)
k141_97051	Hydrogenophaga sp. PBL-H3 (taxid 434010)
k141_153896	Achromobacter deleyi (taxid 1353891)
k141_116179	Lactobacillus reuteri SD2112 (taxid 491077)
k141_229874	Pseudomonas sp. AN-B15 (taxid 2697023)
k141_210470	Cupriavidus necator (taxid 106590)
k141_153897	Pseudomonas putida (taxid 303)
k141_2810	Hydrogenophaga sp. PBL-H3 (taxid 434010)
k141_97055	unclassified Curtobacterium (taxid 257496)
k141_59474	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_172715	Comamonas thiooxydans (taxid 363952)
k141_97057	Achromobacter xylosoxidans (taxid 85698)
k141_2813	Paraburkholderia fungorum (taxid 134537)
k141_229880	Clostridium drakei (taxid 332101)
k141_135225	Achromobacter xylosoxidans (taxid 85698)
k141_59478	Pseudomonas sp. NS1(2017) (taxid 2025658)
k141_172716	Pseudomonas putida (taxid 303)
k141_153900	Proteobacteria (taxid 1224)
k141_78506	Pseudomonas fragi (taxid 296)
k141_116180	Pseudomonas fragi (taxid 296)
k141_40476	Lactobacillus amylovorus DSM 20531 (taxid 1423723)
k141_210471	Pseudomonas putida F1 (taxid 351746)
k141_229881	unclassified Vibrio (taxid 2614977)
k141_135229	Pseudomonas fragi (taxid 296)
k141_40478	Achromobacter xylosoxidans (taxid 85698)
k141_78509	Acinetobacter (taxid 469)
k141_59480	Clavibacter michiganensis subsp. nebraskensis (taxid 31963)
k141_172717	Pseudomonas mendocina (taxid 300)
k141_116182	Clostridium butyricum (taxid 1492)
k141_2816	Pseudomonas putida NBRC 14164 (taxid 1211579)
k141_191886	Rhodoferax sp. BAB1 (taxid 2741720)
k141_59481	Pseudomonas sp. AN-B15 (taxid 2697023)
k141_40480	Serratia marcescens (taxid 615)
k141_153908	Achromobacter xylosoxidans (taxid 85698)
k141_229887	Serratia sp. JKS000199 (taxid 1938820)
k141_2817	Paraburkholderia fungorum (taxid 134537)
k141_78512	Lactobacillus delbrueckii subsp. lactis (taxid 29397)
k141_59483	Pseudomonas psychrophila (taxid 122355)
k141_97072	Pseudomonas putida (taxid 303)
k141_116183	Acinetobacter piscicola (taxid 2006115)
k141_210477	Pseudomonas psychrophila (taxid 122355)
k141_191891	Thermotoga maritima (taxid 2336)
k141_135237	Microbacterium sp. NY27 (taxid 2782169)
k141_229892	Pseudomonas psychrophila (taxid 122355)
k141_153911	Pluralibacter gergoviae (taxid 61647)
k141_59488	Photobacterium profundum SS9 (taxid 298386)
k141_210478	Pseudomonas fragi (taxid 296)
k141_191894	Serratia marcescens (taxid 615)
k141_2825	unclassified Pseudomonas (taxid 196821)
k141_135241	Paraburkholderia fungorum (taxid 134537)
k141_229896	Pseudomonas putida NBRC 14164 (taxid 1211579)
k141_78526	Pseudomonas protegens (taxid 380021)
k141_40485	Enterobacteriaceae (taxid 543)
k141_210479	Pseudomonas fragi (taxid 296)
k141_116191	Vibrio (taxid 662)
k141_97077	Limosilactobacillus frumenti (taxid 104955)
k141_97079	Pseudomonas fluorescens (taxid 294)
k141_153917	Pluralibacter gergoviae (taxid 61647)
k141_229897	Pseudomonas azotoformans (taxid 47878)
k141_59496	Pseudomonas (taxid 286)
k141_248497	Dietzia psychralcaliphila (taxid 139021)
k141_210487	Pseudomonas putida SJTE-1 (taxid 1193499)
k141_172741	Pluralibacter gergoviae (taxid 61647)
k141_153919	Hydrogenophaga sp. PBL-H3 (taxid 434010)
k141_2828	Rhodococcus (taxid 1827)
k141_40490	Pseudomonas fragi (taxid 296)
k141_210488	Achromobacter xylosoxidans A8 (taxid 762376)
k141_135243	Pseudomonas fragi (taxid 296)
k141_172745	Dietzia psychralcaliphila (taxid 139021)
k141_153923	Streptococcus infantarius (taxid 102684)
k141_116199	Aeromicrobium erythreum (taxid 2041)
k141_2832	Pseudomonas mendocina (taxid 300)
k141_210491	Ralstonia pickettii 12J (taxid 402626)
k141_229912	Clostridium isatidis (taxid 182773)
k141_59505	unclassified Pseudomonas (taxid 196821)
k141_97095	Achromobacter deleyi (taxid 1353891)
k141_40495	Pseudomonas syringae pv. cerasicola (taxid 264451)
k141_135250	Hydrogenophaga sp. BA0156 (taxid 2716225)
k141_116203	Phreatobacter cathodiphilus (taxid 1868589)
k141_153929	Pseudomonas mendocina (taxid 300)
k141_97096	Pseudomonas protegens (taxid 380021)
k141_210495	Enterobacteriaceae (taxid 543)
k141_229916	Pseudomonas protegens (taxid 380021)
k141_191895	Limnohabitans sp. 63ED37-2 (taxid 1678128)
k141_210496	Protaetiibacter sp. SSC-01 (taxid 2759943)
k141_229917	Pseudomonas silesiensis (taxid 1853130)
k141_172748	Pseudomonas mendocina S5.2 (taxid 1225174)
k141_191896	Phreatobacter cathodiphilus (taxid 1868589)
k141_78528	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_153931	Pseudomonas putida S12 (taxid 1215087)
k141_135255	Pseudomonas fragi (taxid 296)
k141_116212	Pseudomonas fluorescens (taxid 294)
k141_2843	Pseudomonas fragi (taxid 296)
k141_153933	Streptococcus sobrinus (taxid 1310)
k141_59510	Pluralibacter gergoviae (taxid 61647)
k141_229921	Serratia grimesii (taxid 82995)
k141_191897	Pseudomonas sp. NS1(2017) (taxid 2025658)
k141_2844	Sporosarcina (taxid 1569)
k141_40503	Pseudomonas putida F1 (taxid 351746)
k141_153934	Pseudomonas fragi (taxid 296)
k141_172757	Delftia acidovorans (taxid 80866)
k141_191898	Acinetobacter piscicola (taxid 2006115)
k141_229923	Thermotoga maritima (taxid 2336)
k141_78533	Pseudomonas fragi (taxid 296)
k141_40504	Paraburkholderia aromaticivorans (taxid 2026199)
k141_59514	Pseudomonas fragi (taxid 296)
k141_210498	Achromobacter xylosoxidans NH44784-1996 (taxid 1167634)
k141_97111	Vibrio taketomensis (taxid 2572923)
k141_248522	Pseudomonas fragi (taxid 296)
k141_172759	Pseudomonas mendocina (taxid 300)
k141_40507	Bacteria (taxid 2)
k141_116223	Sphingopyxis sp. EG6 (taxid 1874061)
k141_153939	Pseudomonas fluorescens Pf0-1 (taxid 205922)
k141_2851	Lactobacillus amylovorus (taxid 1604)
k141_78538	Pseudomonas fragi (taxid 296)
k141_40508	Hydrogenophaga sp. YM1 (taxid 2806262)
k141_172761	Serratia marcescens (taxid 615)
k141_97117	Pseudomonas protegens Cab57 (taxid 1420599)
k141_210504	Lactobacillus helveticus (taxid 1587)
k141_59523	Acidovorax sp. RAC01 (taxid 1842533)
k141_116226	Pseudomonas fragi (taxid 296)
k141_172763	Streptococcus infantarius (taxid 102684)
k141_116228	unclassified Delftia (taxid 2613839)
k141_229940	Delftia lacustris (taxid 558537)
k141_210509	Lactobacillus amylovorus (taxid 1604)
k141_97124	Pseudomonas psychrophila (taxid 122355)
k141_172764	Achromobacter xylosoxidans (taxid 85698)
k141_153945	Serratia (taxid 613)
k141_116233	Enterobacteriaceae (taxid 543)
k141_135274	Pseudomonas lundensis (taxid 86185)
k141_97127	Pseudomonas fragi (taxid 296)
k141_248540	Pseudomonas protegens (taxid 380021)
k141_191899	Pluralibacter gergoviae (taxid 61647)
k141_116234	Acinetobacter piscicola (taxid 2006115)
k141_59525	Pseudomonas fragi (taxid 296)
k141_210516	Arsenophonus nasoniae (taxid 638)
k141_191901	Limosilactobacillus frumenti (taxid 104955)
k141_2878	Pseudomonas sp. FDAARGOS_380 (taxid 2018067)
k141_229949	Pluralibacter gergoviae (taxid 61647)
k141_210518	Lactobacillus helveticus (taxid 1587)
k141_78545	Pseudomonas sp. HLS-6 (taxid 2049589)
k141_153953	Lactobacillus reuteri SD2112 (taxid 491077)
k141_97133	Bacteria (taxid 2)
k141_153955	Pseudomonas trivialis (taxid 200450)
k141_229953	Dietzia sp. oral taxon 368 (taxid 712270)
k141_135281	Pluralibacter gergoviae (taxid 61647)
k141_2881	Pseudomonas fluorescens group (taxid 136843)
k141_210523	Pseudomonas orientalis (taxid 76758)
k141_191908	Enterobacteriaceae (taxid 543)
k141_97139	Pseudomonas fragi (taxid 296)
k141_191909	Pseudomonas sp. NS1(2017) (taxid 2025658)
k141_116247	Limosilactobacillus vaginalis (taxid 1633)
k141_248561	Serratia marcescens (taxid 615)
k141_59541	Pseudomonas sp. AN-B15 (taxid 2697023)
k141_135289	Achromobacter xylosoxidans (taxid 85698)
k141_2886	Hydrogenophaga sp. BA0156 (taxid 2716225)
k141_229958	Pseudomonas fragi (taxid 296)
k141_116249	Serratia marcescens (taxid 615)
k141_97144	Pseudomonas psychrophila (taxid 122355)
k141_248563	Pluralibacter gergoviae (taxid 61647)
k141_229961	Pluralibacter gergoviae (taxid 61647)
k141_210524	Hydrogenophaga sp. RAC07 (taxid 1842537)
k141_40511	Lactobacillus salivarius str. Ren (taxid 1194971)
k141_2890	Pseudomonas fluorescens (taxid 294)
k141_135295	Proteobacteria (taxid 1224)
k141_191919	Acinetobacter sp. TTH0-4 (taxid 1646498)
k141_97146	Paraburkholderia fungorum (taxid 134537)
k141_59548	Pluralibacter gergoviae (taxid 61647)
k141_210526	Photobacterium profundum SS9 (taxid 298386)
k141_248568	Enterobacteriaceae (taxid 543)
k141_40513	Acinetobacter pittii (taxid 48296)
k141_229963	Lactobacillus amylovorus DSM 20531 (taxid 1423723)
k141_78571	Enterobacteriaceae (taxid 543)
k141_210528	Pseudomonas putida H8234 (taxid 1331671)
k141_2895	Hydrogenophaga sp. BPS33 (taxid 2651974)
k141_59550	Pseudomonas protegens (taxid 380021)
k141_78573	Pseudomonas sp. AN-B15 (taxid 2697023)
k141_116262	Hydrogenophaga pseudoflava (taxid 47421)
k141_248573	Serratia marcescens (taxid 615)
k141_191921	Pluralibacter gergoviae (taxid 61647)
k141_59554	Pseudomonas protegens (taxid 380021)
k141_153971	Pseudomonas lundensis (taxid 86185)
k141_40523	Hydrogenophaga sp. PBL-H3 (taxid 434010)
k141_229968	Pseudomonas sp. LAB-08 (taxid 143813)
k141_2901	Lactobacillus sanfranciscensis TMW 1.1304 (taxid 714313)
k141_210537	Aeromicrobium marinum DSM 15272 (taxid 585531)
k141_229970	Hydrogenophaga sp. PBL-H3 (taxid 434010)
k141_78579	Pseudomonas putida S13.1.2 (taxid 1384061)
k141_2905	Dietzia sp. oral taxon 368 (taxid 712270)
k141_135316	Carnobacterium divergens (taxid 2748)
k141_191926	Rhodoferax sp. BAB1 (taxid 2741720)
k141_97155	Pseudomonas mendocina NK-01 (taxid 1001585)
k141_116271	Pseudomonas fragi (taxid 296)
k141_59565	Vibrionaceae (taxid 641)
k141_78581	Pseudomonas sp. S19 (taxid 322535)
k141_153980	Achromobacter deleyi (taxid 1353891)
k141_210543	Photobacterium damselae (taxid 38293)
k141_229975	Pluralibacter gergoviae (taxid 61647)
k141_2907	Acinetobacter sp. 10FS3-1 (taxid 2563897)
k141_116273	Pseudomonas putida H8234 (taxid 1331671)
k141_97160	Pseudomonas protegens (taxid 380021)
k141_210545	Pseudomonas lundensis (taxid 86185)
k141_78584	Ligilactobacillus salivarius (taxid 1624)
k141_229980	Pseudomonas putida (taxid 303)
k141_191933	Pseudomonas fragi (taxid 296)
k141_97165	Paraburkholderia fungorum (taxid 134537)
k141_78585	Pseudomonas fragi (taxid 296)
k141_153983	Hydrogenophaga sp. BA0156 (taxid 2716225)
k141_59567	Pseudomonas mendocina (taxid 300)
k141_135323	Pseudomonas putida NBRC 14164 (taxid 1211579)
k141_40539	Pseudomonas protegens (taxid 380021)
k141_191940	Lactobacillus salivarius str. Ren (taxid 1194971)
k141_248582	Pseudomonas fragi (taxid 296)
k141_135326	Delftia acidovorans (taxid 80866)
k141_229982	Lactobacillus crispatus (taxid 47770)
k141_153985	Pseudomonas agarici (taxid 46677)
k141_116274	Pediococcus claussenii (taxid 187452)
k141_210553	Pseudomonas putida (taxid 303)
k141_78586	Pluralibacter gergoviae (taxid 61647)
k141_59569	Pseudomonas putida B6-2 (taxid 1081940)
k141_97174	Pseudomonas fluorescens (taxid 294)
k141_229984	Hydrogenophaga sp. BPS33 (taxid 2651974)
k141_191942	Enterobacteriaceae (taxid 543)
k141_116281	Enterobacteriaceae (taxid 543)
k141_2930	Lactobacillus crispatus (taxid 47770)
k141_210561	Limosilactobacillus frumenti (taxid 104955)
k141_248595	Hydrogenophaga sp. YM1 (taxid 2806262)
k141_21983	Limosilactobacillus vaginalis (taxid 1633)
k141_229987	Pseudomonas mendocina (taxid 300)
k141_2932	Pseudomonas sp. XWY-1 (taxid 2069256)
k141_40555	Pseudomonas protegens (taxid 380021)
k141_116282	unclassified Pseudomonas (taxid 196821)
k141_191952	Pseudomonas putida H8234 (taxid 1331671)
k141_210565	Pseudomonas putida (taxid 303)
k141_78598	Pseudomonas fragi (taxid 296)
k141_153996	Acidovorax sp. JMULE5 (taxid 2518343)
k141_21986	Pseudomonas sp. ACM7 (taxid 2052956)
k141_116283	Phreatobacter cathodiphilus (taxid 1868589)
k141_172787	Dietzia psychralcaliphila (taxid 139021)
k141_21987	Enterobacteriaceae (taxid 543)
k141_135327	Pluralibacter gergoviae (taxid 61647)
k141_229991	Pseudomonas sp. J380 (taxid 2605424)
k141_78602	Delftia acidovorans (taxid 80866)
k141_210568	Pluralibacter gergoviae (taxid 61647)
k141_59586	Pseudomonas putida NBRC 14164 (taxid 1211579)
k141_135330	Pseudomonas putida NBRC 14164 (taxid 1211579)
k141_97179	Pluralibacter gergoviae (taxid 61647)
k141_248610	Moritella sp. 24 (taxid 2746230)
k141_2936	Actinomycetia (taxid 1760)
k141_59587	Pseudomonas orientalis (taxid 76758)
k141_135331	Agromyces intestinalis (taxid 2592652)
k141_154007	Pseudomonas psychrophila (taxid 122355)
k141_191954	Lactobacillus salivarius str. Ren (taxid 1194971)
k141_116287	Achromobacter xylosoxidans A8 (taxid 762376)
k141_229996	Vibrio (taxid 662)
k141_248613	Photobacterium damselae (taxid 38293)
k141_40563	Enterobacteriaceae (taxid 543)
k141_97181	Streptomyces sp. ICC1 (taxid 2099583)
k141_2937	Vibrio ponticus (taxid 265668)
k141_191956	Alteromonadales (taxid 135622)
k141_154009	Hydrogenophaga sp. PBL-H3 (taxid 434010)
k141_172791	Pseudomonas chlororaphis subsp. aureofaciens 30-84 (taxid 1038921)
k141_21995	Streptococcus equinus (taxid 1335)
k141_116290	Pseudomonas protegens Cab57 (taxid 1420599)
k141_59588	Pluralibacter gergoviae (taxid 61647)
k141_78608	Pluralibacter gergoviae (taxid 61647)
k141_2938	Pseudomonas sp. AN-B15 (taxid 2697023)
k141_191958	Vibrio vulnificus (taxid 672)
k141_248618	Latilactobacillus curvatus (taxid 28038)
k141_229997	Pseudomonas sp. R5-89-07 (taxid 658644)
k141_2939	Pseudomonas azotoformans (taxid 47878)
k141_40571	Serratia marcescens (taxid 615)
k141_78611	Pseudomonas sp. AN-B15 (taxid 2697023)
k141_229999	Pluralibacter gergoviae (taxid 61647)
k141_97190	Sphingopyxis sp. EG6 (taxid 1874061)
k141_59592	Pseudomonas psychrophila (taxid 122355)
k141_135343	Pseudomonas fluorescens (taxid 294)
k141_116294	Pseudomonas putida S12 (taxid 1215087)
k141_2942	Vibrio ponticus (taxid 265668)
k141_154019	Pseudomonas protegens (taxid 380021)
k141_135347	Achromobacter deleyi (taxid 1353891)
k141_97196	Chryseoglobus indicus (taxid 2750620)
k141_22007	Pseudomonas lundensis (taxid 86185)
k141_154021	Pseudomonas psychrophila (taxid 122355)
k141_248629	Achromobacter xylosoxidans A8 (taxid 762376)
k141_22011	Pluralibacter gergoviae (taxid 61647)
k141_135349	Pseudomonas putida H8234 (taxid 1331671)
k141_210571	Pseudomonas fragi (taxid 296)
k141_78623	Pseudomonas protegens (taxid 380021)
k141_97200	Lactobacillus amylovorus DSM 20531 (taxid 1423723)
k141_116302	Pseudomonas psychrophila (taxid 122355)
